Gene_ID	Gene_Name	Sample_1	Sample_10	Sample_11	Sample_12	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9
ENSG00000000003.16	TSPAN6	0	0.270899	0.252866	0.31337	0.008439	0.011378	0.294098	0.132778	0.196473	0	0	0.009565
ENSG00000000005.6	TNMD	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419.14	DPM1	73.855291	82.819128	70.476534	74.87537	68.838969	74.050385	79.0948	79.473261	78.821319	55.501816	47.008068	53.853675
ENSG00000000457.14	SCYL3	1.856406	2.359545	1.93084	1.775616	1.682565	1.676399	1.51202	1.66681	2.07587	1.869358	1.297672	1.660439
ENSG00000000460.17	C1orf112	12.145504	11.747465	8.399303	9.77121	12.461791	13.267293	11.119277	10.703437	11.70658	11.125164	5.771418	8.335883
ENSG00000000938.13	FGR	0	0.036068	0	0	0	0	0	0	0	0	0	0
ENSG00000000971.17	CFH	0.055889	0.006316	0	0	0.0126	0.034321	0.012658	0	0.021329	0	0.016619	0.009206
ENSG00000001036.14	FUCA2	39.973938	46.209264	42.381399	47.462513	40.622586	41.693206	45.598594	47.231197	48.066553	43.233872	40.651447	42.151797
ENSG00000001084.13	GCLC	9.041445	6.523628	5.899939	5.7366	10.008671	9.840764	5.480664	6.242347	6.870255	10.087039	10.861926	10.54475
ENSG00000001167.15	NFYA	11.683278	9.262392	7.99475	8.68762	10.901158	11.107159	10.466026	10.510312	10.991814	8.751614	9.137017	8.584335
ENSG00000001460.18	STPG1	1.043578	2.2082	2.883291	1.653982	1.577218	1.125983	1.468324	1.616621	1.230197	1.789895	1.394516	1.724818
ENSG00000001461.17	NIPAL3	2.103785	4.284657	5.08308	4.731473	1.978404	1.257269	2.997417	3.517304	3.207357	2.870558	2.024059	2.303718
ENSG00000001497.18	LAS1L	48.745965	34.573978	31.995898	38.122019	51.944539	51.188236	39.101421	39.541895	38.504543	50.30005	39.05845	46.033285
ENSG00000001561.7	ENPP4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001617.12	SEMA3F	0.509084	1.238115	1.763821	1.240324	0.582127	0.58457	0.294789	0.692882	0.6355	0.657989	0.913784	0.804636
ENSG00000001626.18	CFTR	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001629.10	ANKIB1	16.191813	15.295082	15.400665	15.180288	15.664965	15.633724	12.358701	12.512783	12.248017	16.836893	17.239583	17.587925
ENSG00000001630.18	CYP51A1	25.523412	19.332241	17.526871	19.472069	26.249327	26.245863	18.439459	18.005528	17.698561	37.431241	47.003808	41.461127
ENSG00000001631.17	KRIT1	9.162858	11.616809	12.093077	10.259186	8.335697	9.077259	9.582259	9.613489	10.659798	11.425383	9.136411	10.487236
ENSG00000002016.18	RAD52	6.029931	7.681638	8.382118	6.892023	5.670398	5.925202	7.076717	8.156998	6.428786	7.373199	6.21005	6.032929
ENSG00000002079.14	MYH16	2.21324	0.385508	0.212599	0.398689	2.69827	2.515346	0.355483	0.22855	0.334556	2.496349	1.596121	2.213213
ENSG00000002330.14	BAD	11.165357	11.265763	10.746064	12.463527	11.162786	8.995476	10.044993	10.976611	11.182844	11.134596	15.026714	10.422336
ENSG00000002549.13	LAP3	25.205748	35.383883	30.860869	31.198632	26.764244	28.311946	33.780445	34.371692	35.237344	26.952117	23.648661	26.980074
ENSG00000002586.20	CD99	48.028514	57.822407	60.209993	60.084429	48.016387	47.369257	47.600865	50.879636	48.215907	51.836275	54.638651	51.578996
ENSG00000002587.10	HS3ST1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002726.21	AOC1	0	0.033873	0	0.009704	0	0	0	0.018092	0	0	0	0
ENSG00000002745.13	WNT16	0.026514	0	0	0.012955	0.022755	0	0.047923	0	0.008867	0.039938	0.018042	0.059061
ENSG00000002746.15	HECW1	1.790129	3.113667	2.798158	2.382933	1.836512	2.167612	2.186861	1.626405	1.649325	3.23891	1.99118	2.496909
ENSG00000002822.16	MAD1L1	17.048516	15.203286	19.067325	18.041806	15.589638	13.514028	18.210425	15.786596	16.994635	21.495506	25.599712	22.184889
ENSG00000002834.19	LASP1	56.738832	76.194809	75.533368	83.943147	57.83007	58.059768	85.308099	87.797659	83.881735	63.58231	69.126507	62.875783
ENSG00000002919.15	SNX11	6.140752	8.952686	9.574245	9.627874	6.162199	5.875407	11.342833	9.028301	9.057234	5.170002	4.888845	5.0006
ENSG00000002933.9	TMEM176A	0	0	0	0	0.025622	0	0	0	0	0	0	0
ENSG00000003056.8	M6PR	77.213105	102.241417	86.114883	97.495807	81.31201	88.892967	108.571165	109.31324	106.79382	78.033667	65.86654	70.035881
ENSG00000003096.15	KLHL13	0.53142	2.96513	3.039295	3.595076	0.796314	0.471745	1.935803	1.827163	1.883398	0.678297	0.670892	0.529315
ENSG00000003137.9	CYP26B1	0.711602	0.106204	0.115993	0.135399	0.375824	0.698118	0.101681	0.134058	0.11358	0.244816	0.109483	0.166726
ENSG00000003147.19	ICA1	0.491901	1.77553	2.102151	1.356538	0.634605	0.528293	0.774688	0.580668	0.900591	1.057114	1.237949	1.133173
ENSG00000003249.15	DBNDD1	12.90541	8.682942	9.689225	7.903169	11.858247	10.365962	6.631068	7.065589	6.713918	12.176814	15.55038	14.346725
ENSG00000003393.16	ALS2	9.208402	12.879603	11.779653	12.710748	9.55579	9.54387	12.442287	11.486475	11.413743	9.29331	7.850279	8.504445
ENSG00000003400.16	CASP10	1.943042	4.552779	5.146796	4.566821	1.862701	1.870601	3.44284	3.404207	3.516342	2.761661	2.812278	3.403409
ENSG00000003402.21	CFLAR	51.419293	54.249373	39.54698	41.179093	50.952639	51.322008	58.082751	52.66583	41.129553	59.475207	55.413979	68.237852
ENSG00000003436.16	TFPI	40.2613	68.185827	71.03582	63.389405	39.017562	44.171938	59.821521	57.512292	58.515344	73.461247	84.531787	78.967231
ENSG00000003509.16	NDUFAF7	13.691908	12.785116	14.63853	11.993191	12.235465	12.820223	13.364635	13.175021	12.424521	15.584984	16.928143	16.628418
ENSG00000003756.17	RBM5	21.310167	31.896412	30.840117	30.435022	19.040753	20.911527	30.278143	30.820925	30.588015	21.199435	21.821358	20.685821
ENSG00000003987.14	MTMR7	0.359468	0.390121	0.459431	0.233969	0.355859	0.356853	0.2454	0.34176	0.33605	0.336009	0.194326	0.298954
ENSG00000003989.18	SLC7A2	0.306071	0	0.005921	0	0.284989	0.338089	0	0	0	0.429668	0.497763	0.388954
ENSG00000004059.11	ARF5	44.519426	32.419672	34.282563	33.349234	44.131547	44.177928	28.316949	31.88477	28.845335	48.493312	47.642678	46.302917
ENSG00000004139.14	SARM1	1.64898	1.297003	1.222686	1.575914	2.090251	1.451794	1.678213	1.499471	1.757604	1.404218	1.150583	1.360732
ENSG00000004142.12	POLDIP2	62.032455	44.359613	40.810138	46.96776	62.257645	61.962728	51.66496	55.498159	50.122045	54.449351	43.222133	48.222245
ENSG00000004399.13	PLXND1	12.387398	14.556311	17.892043	14.938262	12.532482	12.180677	12.815438	13.01601	12.896948	17.161687	25.984192	19.928238
ENSG00000004455.18	AK2	121.916093	86.974978	72.165584	104.704105	113.572503	135.144226	122.357323	134.518521	132.024393	83.095059	68.897546	88.611135
ENSG00000004468.13	CD38	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004478.8	FKBP4	116.249407	74.49195	72.818491	79.677085	121.551458	117.241322	90.88279	94.296876	87.985656	103.796148	94.717355	96.434169
ENSG00000004487.18	KDM1A	34.291793	25.239047	23.720085	26.424626	29.75296	33.161804	27.751268	27.423782	27.660203	33.788379	26.564292	29.339233
ENSG00000004534.15	RBM6	16.479615	18.998933	22.093974	19.901915	17.059787	17.638766	18.221574	18.401061	19.176546	19.162655	20.815445	18.469768
ENSG00000004660.15	CAMKK1	2.358402	1.761131	1.878833	1.998808	2.640688	2.127904	1.334021	1.450329	1.303224	4.810724	6.4624	5.507321
ENSG00000004700.16	RECQL	37.380375	55.565234	52.714189	56.491846	38.167122	41.322382	50.855288	48.263899	50.746294	37.757558	28.024688	33.205161
ENSG00000004766.17	VPS50	2.769005	3.191808	2.968154	3.313057	2.89114	3.14731	3.160547	3.394767	2.756555	2.738841	2.228631	2.804633
ENSG00000004776.13	HSPB6	0.234073	0.483326	0.503238	0.275242	0.142939	0.080538	0.522674	0.578792	0.171965	0.163027	0.089449	0.214925
ENSG00000004777.19	ARHGAP33	1.41596	2.342308	2.545103	2.174554	1.433647	1.143479	1.730231	2.703317	2.538794	1.316061	1.722437	1.39857
ENSG00000004779.10	NDUFAB1	69.81024	68.983775	65.882129	66.125604	68.087039	66.243725	68.393877	63.249032	68.656306	52.407034	54.773902	47.957071
ENSG00000004799.8	PDK4	0	6.059574	5.998839	5.063136	0.04613	0.081162	6.853672	6.281222	6.991077	0.19413	0.739244	0.692563
ENSG00000004809.14	SLC22A16	0	0	0.05611	0.035256	0	0	0.052208	0.109442	0.020458	0	0	0
ENSG00000004838.14	ZMYND10	0.157332	0.365556	0.106868	0.088585	0.231165	0.110792	0.090535	0.109756	0.20137	0.029142	0.047885	0.065834
ENSG00000004846.17	ABCB5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004848.8	ARX	0.133268	0.155923	0.279024	0.233954	0.041933	0.106611	0.065808	0.115066	0.137497	0.113305	0.11362	0.130714
ENSG00000004864.14	SLC25A13	19.726382	13.365586	10.220214	13.308603	19.393803	20.361458	15.907014	16.542751	16.054342	12.433786	5.59457	9.169416
ENSG00000004866.22	ST7	7.021381	5.072389	5.257946	6.303579	5.957176	6.421181	5.217531	5.171574	6.279561	5.083661	3.45827	4.327623
ENSG00000004897.12	CDC27	37.875834	48.681533	42.445317	45.762838	30.253672	36.746999	41.49251	45.787245	47.324023	29.381301	22.887453	26.373714
ENSG00000004939.16	SLC4A1	0	0.026344	0	0	0.014053	0.019972	0.007071	0	0.009202	0.008383	0.006224	0.020123
ENSG00000004948.16	CALCR	0	0	0	0.011007	0	0.014758	0	0	0	0.02209	0	0
ENSG00000004961.15	HCCS	33.002863	23.944964	21.546957	24.466859	33.592828	35.018771	27.984384	29.285121	26.950294	22.261112	16.565865	21.280426
ENSG00000004975.12	DVL2	11.748021	8.692254	9.055359	10.156471	10.667861	11.419153	7.995263	8.825573	8.200304	13.43395	18.154451	14.87291
ENSG00000005001.10	PRSS22	0	0	0	0	0.043916	0.056959	0	0	0	0.09601	0.060312	0
ENSG00000005007.14	UPF1	17.990207	14.67818	16.843211	16.907935	19.6732	18.007751	17.313988	19.236024	17.278482	18.136585	21.278296	17.884785
ENSG00000005020.13	SKAP2	11.042139	23.559837	29.432753	23.946449	9.196072	11.008922	16.168975	15.567127	16.453929	15.341593	16.622351	16.785692
ENSG00000005022.6	SLC25A5	366.57554	303.077348	283.954132	322.253583	388.161203	370.110891	336.032313	339.146951	335.684042	394.798453	364.670226	382.918145
ENSG00000005059.16	MCUB	13.576212	21.149838	22.692874	19.882154	12.587356	14.741459	18.682378	19.055318	20.055741	12.660694	12.148121	12.795025
ENSG00000005073.6	HOXA11	0.410422	0.84346	0.555765	0.719861	0.356557	0.393795	0.61927	0.73061	0.753278	0.408799	0.269107	0.369615
ENSG00000005075.16	POLR2J	50.034463	28.522994	24.223098	25.04338	40.721723	41.721356	22.643134	24.860567	25.156278	30.273856	32.826797	34.973407
ENSG00000005100.13	DHX33	16.7684	10.852404	10.446208	11.57939	17.432668	17.447217	13.37	13.401398	13.658217	16.761253	16.328525	16.700329
ENSG00000005102.14	MEOX1	0	0.201627	0.089482	0.188795	0	0.019069	0.087291	0.046764	0.046776	0.049902	0.094287	0.107941
ENSG00000005108.17	THSD7A	0	0	0	0	0	0	0.003879	0	0.00416	0	0	0.003222
ENSG00000005156.12	LIG3	8.903848	6.804705	7.950245	6.607636	8.878329	9.492129	6.751237	6.462393	6.622764	11.372186	10.777282	10.092878
ENSG00000005175.10	RPAP3	12.78058	15.722129	15.999615	13.443357	12.461317	13.392951	14.905473	15.110078	15.112527	12.125022	10.054281	12.126445
ENSG00000005187.12	ACSM3	0.042604	1.023473	1.780334	1.628566	0.017583	0.165641	0.73513	0.774168	0.465098	0.338487	0.959577	0.689101
ENSG00000005189.20	REXO5	2.950271	4.957882	5.354912	4.78783	2.844355	2.676941	4.563715	4.503694	4.659769	3.430804	2.195225	3.738172
ENSG00000005194.15	CIAPIN1	34.260228	33.405565	28.800835	33.360048	37.527458	35.207422	43.84828	39.868308	41.082714	27.194115	22.107937	24.028951
ENSG00000005206.17	SPPL2B	16.422403	17.980704	14.830379	15.76592	18.239047	14.244367	15.304816	18.51241	16.638798	14.76998	12.049615	13.6249
ENSG00000005238.20	ATOSB	2.593705	8.094003	9.197525	9.303394	2.759625	2.026668	7.298032	8.123759	7.679024	4.185697	5.309002	4.802115
ENSG00000005243.10	COPZ2	1.218347	4.67877	3.534677	4.845685	0.965966	1.132104	3.902512	4.131796	4.423476	1.021282	0.622327	1.648428
ENSG00000005249.14	PRKAR2B	16.141915	21.274017	19.667626	20.142199	15.760663	17.677364	16.877573	16.071826	17.443901	17.78917	17.147601	16.125989
ENSG00000005302.19	MSL3	11.59443	9.122732	8.306868	8.556234	11.239838	12.804565	8.256677	10.33537	8.378393	10.522134	9.23423	9.467896
ENSG00000005339.15	CREBBP	6.801684	7.877862	7.43429	8.020852	6.806541	6.398547	9.308669	9.138208	10.086987	6.039024	6.341179	6.305506
ENSG00000005379.17	TSPOAP1	0	0	0	0	0	0	0	0	0.010944	0	0	0
ENSG00000005381.9	MPO	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005421.9	PON1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005436.14	GCFC2	17.905995	15.315183	14.174426	13.985015	14.227346	15.092207	11.421773	13.898017	14.471335	15.618697	14.630252	14.124275
